ts,symbol,is_active,priority,vol_score,flow_score,info_score,cost_score,spread_bps,depth_usd,atr_pct
1756918572.417272,ETHUSDT:USDT,0,101.47,1.06,99.96,0.53,0.07,0.0224,52776,0.000000
1756918576.487777,BTCUSDT:USDT,1,111.55,7.73,99.98,3.86,0.03,0.0089,386484,0.000000
1756918579.58269,SOLUSDT:USDT,0,107.92,6.87,99.05,3.43,1.43,0.4769,343385,0.000000
1756918583.5331898,XRPUSDT:USDT,0,103.62,3.58,99.30,1.79,1.05,0.3499,178971,0.000000
1756918587.372108,DOGEUSDT:USDT,0,99.86,1.44,99.08,0.72,1.38,0.4593,71768,0.000000
1756918600.381144,ENAUSDT:USDT,0,96.13,2.05,97.22,1.03,4.17,1.3884,102548,0.000000
1756918604.346538,WIFUSDT:USDT,0,90.32,1.77,95.07,0.88,7.40,2.4655,88297,0.000000
1756918615.61352,ADAUSDT:USDT,0,99.53,3.68,97.61,1.84,3.59,1.1970,183790,0.000000
1756918633.166316,HYPEUSDT:USDT,0,98.69,6.35,95.66,3.18,6.50,2.1680,317732,0.000000
1756918636.605623,ONDOUSDT:USDT,0,96.69,1.26,97.92,0.63,3.12,1.0392,62841,0.000000
1756918647.6136498,ETHUSDT:USDT,0,103.14,2.17,99.96,1.08,0.07,0.0224,108359,0.000000
1756918652.211033,BTCUSDT:USDT,1,107.63,5.11,99.98,2.56,0.03,0.0089,255687,0.000000
1756918656.1665611,SOLUSDT:USDT,0,108.44,7.22,99.05,3.61,1.43,0.4767,360882,0.000000
1756918659.027908,XRPUSDT:USDT,0,103.07,3.21,99.30,1.61,1.05,0.3498,160578,0.000000
1756918661.739089,DOGEUSDT:USDT,0,99.00,0.86,99.08,0.43,1.38,0.4593,43101,0.000000
1756918676.493695,ENAUSDT:USDT,0,96.44,2.26,97.22,1.13,4.16,1.3878,112786,0.000000
1756918679.958014,WIFUSDT:USDT,0,83.39,1.25,92.60,0.63,11.09,3.6980,62655,0.000000
1756918691.721807,ADAUSDT:USDT,0,100.46,4.30,97.61,2.15,3.59,1.1970,214993,0.000000
1756918702.657242,LINKUSDT:USDT,0,96.64,0.57,98.31,0.29,2.53,0.8443,28740,0.000000
1756918708.3704152,HYPEUSDT:USDT,0,99.42,6.85,95.66,3.42,6.51,2.1690,342290,0.000000
1756918711.1102238,ONDOUSDT:USDT,0,96.14,0.89,97.92,0.45,3.11,1.0382,44502,0.000000
1756918722.5403898,ETHUSDT:USDT,0,103.97,2.72,99.96,1.36,0.07,0.0224,135903,0.000000
1756918725.898224,BTCUSDT:USDT,1,111.12,7.44,99.98,3.72,0.03,0.0089,372170,0.000000
1756918731.120248,SOLUSDT:USDT,0,107.38,6.51,99.05,3.25,1.43,0.4765,325300,0.000000
1756918735.0442328,XRPUSDT:USDT,0,104.29,4.02,99.30,2.01,1.05,0.3497,201157,0.000000
1756918739.3045561,DOGEUSDT:USDT,0,99.51,1.20,99.08,0.60,1.38,0.4590,60083,0.000000
1756918754.009108,ENAUSDT:USDT,0,96.24,2.12,97.23,1.06,4.16,1.3871,105923,0.000000
1756918757.626074,WIFUSDT:USDT,0,84.57,2.02,92.61,1.01,11.08,3.6925,100961,0.000000
1756918765.966196,ADAUSDT:USDT,0,99.77,3.84,97.61,1.92,3.59,1.1962,191758,0.000000
1756918775.007228,LINKUSDT:USDT,0,98.67,0.52,99.16,0.26,1.27,0.4220,25995,0.000000
1756918780.28752,HYPEUSDT:USDT,0,99.24,6.73,95.66,3.36,6.51,2.1699,336358,0.000000
1756918783.028094,ONDOUSDT:USDT,0,96.92,1.41,97.93,0.70,3.11,1.0374,70300,0.000000
1756918838.249917,ETHUSDT:USDT,0,102.78,1.93,99.96,0.97,0.07,0.0224,96556,0.000000
1756918840.9407969,BTCUSDT:USDT,1,109.36,6.27,99.98,3.13,0.03,0.0089,313329,0.000000
1756918843.548361,SOLUSDT:USDT,0,108.50,7.25,99.05,3.63,1.43,0.4762,362544,0.000000
1756918846.4303958,XRPUSDT:USDT,0,103.49,3.49,99.30,1.75,1.05,0.3495,174703,0.000000
1756918851.042135,DOGEUSDT:USDT,0,99.90,1.46,99.08,0.73,1.38,0.4586,72955,0.000000
1756918865.87663,ENAUSDT:USDT,0,96.67,2.40,97.23,1.20,4.15,1.3849,119789,0.000000
1756918868.4041018,WIFUSDT:USDT,0,89.70,1.33,95.08,0.66,7.37,2.4582,66286,0.000000
1756918878.474009,ADAUSDT:USDT,0,100.79,4.51,97.61,2.26,3.59,1.1951,225503,0.000000
1756918894.565328,HYPEUSDT:USDT,0,98.34,6.11,95.67,3.05,6.49,2.1643,305384,0.000000
1756918898.485991,ONDOUSDT:USDT,0,96.85,1.35,97.93,0.68,3.11,1.0366,67635,0.000000
1756918908.817991,ETHUSDT:USDT,0,107.01,4.75,99.96,2.37,0.07,0.0224,237481,0.000000
1756918913.573926,BTCUSDT:USDT,1,113.24,8.86,99.98,4.43,0.03,0.0089,442779,0.000000
1756918917.404358,SOLUSDT:USDT,0,106.40,5.85,99.05,2.92,1.43,0.4756,292491,0.000000
1756918920.570247,XRPUSDT:USDT,0,103.42,3.44,99.30,1.72,1.05,0.3493,172101,0.000000
1756918924.633933,DOGEUSDT:USDT,0,99.76,1.37,99.08,0.68,1.38,0.4584,68418,0.000000
1756918938.565511,ENAUSDT:USDT,0,97.72,3.09,97.23,1.55,4.15,1.3828,154616,0.000000
1756918941.174618,WIFUSDT:USDT,0,90.18,1.63,95.09,0.82,7.36,2.4546,81626,0.000000
1756918950.214936,ADAUSDT:USDT,0,99.73,3.80,97.61,1.90,3.58,1.1945,190191,0.000000
1756918956.178473,AVAXUSDT:USDT,0,98.92,0.59,99.21,0.30,1.18,0.3944,29690,0.000000
1756918965.357226,HYPEUSDT:USDT,0,99.44,6.84,95.67,3.42,6.49,2.1638,342044,0.000000
1756918968.396291,ONDOUSDT:USDT,0,96.46,1.09,97.93,0.55,3.11,1.0366,54640,0.000000
1756918983.542519,ETHUSDT:USDT,0,106.94,4.70,99.96,2.35,0.07,0.0224,234901,0.000000
1756918988.445518,BTCUSDT:USDT,1,116.64,11.12,99.98,5.56,0.03,0.0089,556151,0.000000
1756918991.4108422,SOLUSDT:USDT,0,106.34,5.81,99.05,2.91,1.43,0.4757,290525,0.000000
1756918995.333762,XRPUSDT:USDT,0,104.43,4.12,99.30,2.06,1.05,0.3493,205828,0.000000
1756918999.612986,DOGEUSDT:USDT,0,99.37,1.11,99.08,0.55,1.38,0.4586,55404,0.000000
1756919013.0118241,ENAUSDT:USDT,0,96.75,2.45,97.23,1.22,4.15,1.3834,122289,0.000000
1756919015.4648561,WIFUSDT:USDT,0,96.13,1.51,97.55,0.76,3.68,1.2262,75511,0.000000
1756919024.247299,ADAUSDT:USDT,0,99.51,3.65,97.61,1.82,3.58,1.1934,182403,0.000000
1756919043.569303,HYPEUSDT:USDT,0,98.87,6.46,95.67,3.23,6.49,2.1629,322966,0.000000
1756919046.9456818,ONDOUSDT:USDT,0,96.35,1.02,97.93,0.51,3.11,1.0360,50841,0.000000
1756919059.242284,ETHUSDT:USDT,0,105.22,3.55,99.96,1.78,0.07,0.0224,177572,0.000000
1756919062.942168,BTCUSDT:USDT,1,110.85,7.27,99.98,3.63,0.03,0.0089,363288,0.000000
1756919066.831808,SOLUSDT:USDT,0,106.58,5.97,99.05,2.99,1.43,0.4758,298568,0.000000
1756919070.07444,XRPUSDT:USDT,0,105.49,4.82,99.30,2.41,1.05,0.3493,241249,0.000000
1756919073.010137,DOGEUSDT:USDT,0,99.46,1.17,99.08,0.58,1.38,0.4589,58332,0.000000
1756919086.0181298,ENAUSDT:USDT,0,96.83,2.50,97.23,1.25,4.15,1.3828,124794,0.000000
1756919089.441601,WIFUSDT:USDT,0,84.09,1.66,92.64,0.83,11.04,3.6794,82780,0.000000
1756919099.5240169,SUIUSDT:USDT,0,99.33,0.55,99.41,0.27,0.89,0.2974,27310,0.000000
1756919104.320055,ADAUSDT:USDT,0,100.46,4.28,97.61,2.14,3.58,1.1938,214221,0.000000
1756919111.034307,AVAXUSDT:USDT,0,98.91,0.58,99.21,0.29,1.18,0.3936,29226,0.000000
1756919114.808615,LINKUSDT:USDT,0,98.74,0.56,99.16,0.28,1.26,0.4213,28140,0.000000
1756919119.820609,HYPEUSDT:USDT,0,99.37,6.79,95.67,3.40,6.49,2.1633,339517,0.000000
1756919122.7285929,ONDOUSDT:USDT,0,96.57,1.17,97.93,0.59,3.11,1.0361,58510,0.000000
1756919133.280784,ETHUSDT:USDT,0,104.85,3.31,99.96,1.66,0.07,0.0224,165524,0.000000
1756919136.436434,BTCUSDT:USDT,1,111.47,7.67,99.98,3.84,0.03,0.0089,383743,0.000000
1756919139.1306372,SOLUSDT:USDT,0,106.19,5.72,99.05,2.86,1.43,0.4758,285773,0.000000
1756919142.4275992,XRPUSDT:USDT,0,102.99,3.16,99.30,1.58,1.05,0.3492,157933,0.000000
1756919146.0549781,DOGEUSDT:USDT,0,99.56,1.23,99.08,0.62,1.38,0.4587,61688,0.000000
1756919160.2656589,ENAUSDT:USDT,0,97.34,2.84,97.23,1.42,4.15,1.3830,141908,0.000000
1756919163.571916,WIFUSDT:USDT,0,90.32,1.72,95.09,0.86,7.36,2.4540,86221,0.000000
1756919173.645615,ADAUSDT:USDT,0,100.75,4.48,97.61,2.24,3.58,1.1930,223945,0.000000
1756919188.8557599,HYPEUSDT:USDT,0,98.80,6.41,95.67,3.20,6.49,2.1629,320383,0.000000
1756919192.066551,ONDOUSDT:USDT,0,97.00,1.45,97.93,0.73,3.11,1.0355,72612,0.000000
1756926893.1492732,ETHUSDT:USDT,0,77.48,1.82,99.96,0.91,0.07,0.0224,91240,0.000000
1756926897.360267,BTCUSDT:USDT,1,87.27,6.90,99.98,3.45,0.03,0.0089,345027,0.000000
1756926901.544961,SOLUSDT:USDT,0,80.33,5.95,99.05,2.98,1.43,0.4773,297575,0.000000
1756926904.939782,XRPUSDT:USDT,0,76.32,2.34,99.30,1.17,1.05,0.3513,117051,0.000000
1756926908.364001,DOGEUSDT:USDT,0,74.66,1.22,99.09,0.61,1.37,0.4566,60912,0.000000
